src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
101,319,57,360,299,1297,0,2178,32236,30206
101,53,69,331,275,2071,0,2352,27227,25036
193,319,22,424,61,170,0,2043,44781,42852
358,53,15,433,18,87,0,2388,46676,44464
193,53,20,423,33,157,0,2153,44541,42559
193,101,29,402,62,344,0,1814,40209,38578
66,319,58,340,331,1322,0,2308,28899,26423
358,193,121,212,1257,6003,0,638,11130,10598
486,101,39,371,116,625,0,1889,34297,32449
66,101,64,320,526,1490,0,2235,25521,23284
677,319,59,327,365,1346,0,1878,26911,24512
677,53,45,350,135,855,0,2417,30706,27952
12,319,47,345,112,969,0,2061,30046,27233
508,319,27,378,73,278,0,2252,36157,32844
66,486,23,385,45,208,0,2125,36864,34931
12,101,42,347,132,729,0,2215,30235,27581
54,319,39,349,197,544,0,2141,31032,27553
901,53,49,328,179,997,0,1842,27261,24525
901,101,43,337,172,731,0,2116,28686,25814
121,319,42,337,178,683,0,2197,29154,25265
125,319,46,327,237,798,0,2224,27561,23516
677,66,57,305,518,1078,0,2200,23134,21026
54,101,59,301,484,1227,0,1831,23052,20267
508,358,38,342,176,527,0,1274,29394,27643
105,319,47,323,242,839,0,1841,26977,23185
12,486,49,316,182,994,0,1638,24887,23245
121,101,60,293,453,1317,0,1916,22018,18844
12,66,24,365,63,213,0,3286,33196,29948
104,319,44,324,198,748,0,2407,27307,22612
133,53,43,326,120,783,0,2168,27306,23501
52,319,30,352,92,343,0,2395,32025,27356
50,319,36,340,173,457,0,2024,29955,25651
13,319,32,348,41,455,0,2245,31327,26806
299,101,39,333,123,618,0,2117,28312,24849
125,101,54,303,407,1024,0,2001,23557,20195
167,101,46,318,234,801,0,1801,25906,22696
68,319,36,338,187,443,0,1895,29688,25370
105,101,59,291,566,1145,0,1633,21837,18725
777,193,16,376,28,92,0,1386,35685,33429
126,319,40,328,119,661,0,2192,28101,23335
99,319,29,350,101,305,0,2262,31819,26994
382,53,26,356,61,264,0,1395,32530,29265
508,486,45,317,194,796,0,1654,25120,23312
52,53,47,313,232,849,0,1723,25392,21713
901,486,44,318,227,719,0,1337,25291,23775
580,358,85,235,998,2572,0,913,14289,12293
299,358,19,367,62,109,0,1474,34089,31598
580,193,84,237,839,2647,0,818,14524,12624
18,53,36,333,92,538,0,2033,28678,24567
104,101,51,302,359,916,0,2163,23611,19677
52,101,46,312,242,793,0,1839,25141,21536
50,101,60,284,503,1267,0,1551,20983,17652
13,101,40,324,108,672,0,1932,27043,23351
284,358,28,347,102,276,0,1149,30579,28303
630,101,42,319,119,742,0,1806,26273,22642
126,53,34,335,93,468,0,2126,29079,24740
269,193,39,324,68,673,0,1263,26758,24305
194,53,38,326,81,622,0,1601,27631,23743
12,677,29,344,74,332,0,1855,29421,27720
11,101,42,318,106,755,0,1765,26146,22492
54,66,117,167,1560,5226,0,595,7099,6167
1084,101,35,330,96,499,0,2180,28149,23956
126,101,40,320,127,653,0,2156,26529,22355
99,101,47,306,313,768,0,2059,24345,20261
76,53,49,302,202,974,0,1490,23946,20015
48,319,37,326,200,466,0,1355,28087,23533
382,358,106,187,875,4690,0,488,9405,7498
382,193,90,219,577,3428,0,797,12637,10437
834,53,41,317,158,662,0,1811,26296,21979
496,319,38,322,107,596,0,1824,27524,22333
88,53,33,332,95,433,0,1892,28759,24295
267,53,41,316,126,694,0,1957,26175,21638
777,486,55,287,286,1199,0,1260,20755,19026
67,358,25,347,93,207,0,1535,30741,27755
67,193,25,347,51,249,0,1313,30741,27977
147,319,22,352,28,203,0,1493,32649,27634
834,101,56,284,209,1331,0,1426,21247,17513
11,193,25,346,37,263,0,1475,30597,27613
59,319,24,347,68,208,0,2178,31821,26032
901,677,40,314,74,706,0,2183,24541,22417
1084,358,19,356,38,133,0,1388,32406,29396
908,358,21,352,59,151,0,1325,31700,28751
203,358,26,341,74,251,0,1180,29830,26960
194,358,10,373,10,35,0,1393,35526,32459
203,193,15,363,15,90,0,1541,33691,30471
167,486,30,333,129,306,0,1357,27936,25985
284,486,45,302,283,707,0,1321,23050,21080
461,53,35,322,91,504,0,1991,27360,22330
48,101,47,298,423,658,0,1367,23421,19465
269,486,36,319,208,422,0,1393,25701,23627
76,358,17,357,25,111,0,1190,32676,29680
105,66,134,123,1684,7227,0,381,4101,3021
133,66,48,295,373,755,0,1764,21989,19612
163,53,43,305,150,753,0,1729,24744,19887
792,319,37,316,124,542,0,1409,26922,21439
54,677,59,272,561,1150,0,1586,18441,16829
59,53,47,296,234,847,0,1432,23437,18791
881,319,32,325,36,460,0,1716,28406,22528
283,101,36,317,174,456,0,1914,26446,21726
440,53,16,357,12,108,0,1597,33406,28543
270,53,28,333,56,322,0,1765,29278,24235
508,12,44,301,278,668,0,1685,22512,20953
256,101,44,300,338,608,0,1774,23871,19205
94,319,25,338,54,246,0,1836,30601,24516
901,12,43,302,145,758,0,1762,22666,21023
59,101,42,303,216,645,0,1651,24361,19741
