src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
59,487,262,368,7817,26374,0,1764,36172,29592
420,487,212,452,5660,16706,0,2455,54214,45257
422,487,191,468,4902,13243,0,2906,59563,46809
149,487,104,612,2105,3251,0,3728,100726,82512
269,487,100,619,1921,3029,0,3630,102963,84678
80,487,186,442,5034,12171,0,2521,56541,38399
769,487,107,590,2388,3283,0,3053,95566,75136
741,487,100,599,1879,3071,0,3447,98713,76941
477,487,162,474,3300,9741,0,2362,65341,44398
721,487,105,587,2623,2837,0,2837,95355,73799
418,487,190,414,4533,13422,0,1926,52443,31122
425,487,145,489,3336,7104,0,3109,70878,45329
420,59,165,446,3950,9580,0,3604,49570,46061
609,487,118,535,2484,4419,0,2533,83499,56813
561,487,109,547,2415,3471,0,2630,87411,59290
107,487,124,514,2216,5410,0,2954,79017,49870
523,487,94,573,1718,2653,0,3315,95136,65427
539,487,94,573,1718,2653,0,3315,95136,65427
1240,487,148,463,3452,7426,0,2548,66933,37472
668,487,98,563,2359,2394,0,2646,92533,63024
530,487,172,415,4191,10515,0,2066,56421,27418
529,487,115,527,2711,3844,0,2115,82975,53511
660,487,98,560,2425,2328,0,2541,92044,61935
572,487,95,564,2365,2100,0,2218,93403,63145
665,487,96,562,2385,2175,0,2536,92841,62264
364,487,104,543,2003,3353,0,3247,87961,55945
195,487,131,489,2934,5581,0,2511,74056,42749
676,487,93,564,2181,2097,0,2800,93883,62083
306,487,152,446,3178,8298,0,2362,64147,32726
422,59,185,380,5202,11818,0,2599,36351,33060
818,487,135,478,3177,5868,0,2231,71766,40006
560,487,107,534,2342,3329,0,2214,85906,54191
804,487,93,560,1961,2317,0,3249,93249,60022
1127,487,84,578,1456,2030,0,3424,98361,64968
635,487,92,561,2264,1922,0,2802,93652,60626
812,487,88,569,1700,2128,0,2848,95908,62840
558,487,149,444,3046,7980,0,1847,64687,31812
773,487,94,554,2389,1982,0,2353,92077,58751
479,487,99,541,2162,2689,0,2742,88902,54426
392,487,152,435,3401,8075,0,2040,63091,29264
672,487,125,488,2793,4957,0,2331,75421,41076
674,487,82,574,1979,1342,0,2896,98211,63344
15,487,134,470,3202,5709,0,1898,71119,37198
590,487,91,554,2059,2036,0,2892,92836,57453
497,487,100,534,2086,2864,0,2755,87663,51893
422,420,220,294,5498,18592,0,1069,21631,20371
625,487,86,557,1998,1657,0,2675,94576,57595
948,487,171,386,3861,10674,0,1348,54480,18477
652,487,87,554,2227,1514,0,2717,93876,56588
689,487,80,568,1943,1217,0,2735,97796,60497
550,487,151,425,3114,8211,0,1535,62500,26065
682,487,100,525,1833,3117,0,2969,86466,48115
60,487,143,439,2626,7527,0,2494,65783,27864
611,487,89,544,2086,1830,0,2385,91937,53374
633,420,97,528,1630,3026,0,3273,69793,66062
749,487,81,559,1982,1258,0,2595,96201,57165
549,487,165,390,3947,9583,0,724,56326,18805
737,487,80,560,1885,1275,0,2902,96616,57002
748,487,88,543,2162,1666,0,2401,92073,52679
269,59,107,505,3624,2047,0,3291,64836,59133
1519,487,82,554,1227,2094,0,2855,95221,55105
671,487,92,533,2277,1909,0,2075,89662,50041
591,487,84,547,2024,1462,0,2646,93711,52974
1420,487,154,407,4047,7734,0,1080,60391,21150
14,487,101,513,1876,3174,0,3041,84718,43569
943,487,153,408,3741,7887,0,1087,60733,21208
80,59,203,308,6666,13837,0,1789,25083,20406
875,487,107,499,1900,3771,0,2885,81461,39905
640,487,95,521,2286,2179,0,2556,87340,45564
687,487,79,552,1920,1161,0,2756,95781,53539
628,487,114,481,2553,3888,0,2359,77622,35459
742,487,89,530,2147,1769,0,2149,90124,47912
656,420,94,520,1557,2814,0,3279,68016,63645
322,487,122,464,2205,5176,0,2350,73756,31310
18,487,144,420,3317,6979,0,1580,64054,22356
510,487,158,391,3800,8603,0,742,58331,17172
552,487,120,467,2296,4844,0,2054,74595,32162
618,487,79,548,1267,1814,0,2941,95251,51686
594,487,86,533,1785,1870,0,2338,91348,48092
149,420,73,558,1076,1552,0,4013,78346,73044
769,59,126,452,5039,2836,0,2148,52786,46992
919,487,77,549,913,2013,0,1979,95956,52491
309,487,139,425,3397,6194,0,1577,65824,22699
173,487,119,465,2324,4697,0,1478,74704,31698
481,487,167,368,3981,9880,0,735,54697,12096
666,487,74,553,815,1886,0,2863,97346,52419
941,487,127,446,2705,5296,0,1241,70822,27172
691,487,73,554,1658,970,0,2748,97768,52665
147,487,119,462,2058,4963,0,1537,74446,30508
910,487,73,552,847,1781,0,1983,97509,52584
80,420,126,446,2603,5272,0,3240,50467,45528
477,59,121,456,2375,4885,0,3517,53965,46258
494,487,126,445,2725,5150,0,907,71040,26843
721,59,146,405,6262,4323,0,1558,43060,37192
829,487,89,518,1423,2493,0,2379,88726,42798
832,487,95,506,1635,2830,0,2495,85660,39610
633,422,146,404,4176,6409,0,2254,40638,38514
556,487,120,454,1787,5353,0,1694,73503,27634
223,487,87,520,1348,2393,0,2778,89541,42621
418,59,158,378,3486,8917,0,2497,37933,30823
935,487,131,431,2823,5692,0,1123,68575,22967
377,487,130,433,3009,5376,0,739,69006,23783
305,487,92,507,2035,2151,0,2409,86659,39203
616,487,96,498,2207,2353,0,2027,84553,37173
1099,487,119,451,2513,4508,0,1938,73577,25960
730,487,59,571,1141,570,0,3441,104177,55117
1295,487,105,478,1856,3604,0,1164,79986,32853
769,420,91,506,1683,2412,0,2770,65052,59943
713,487,118,450,2151,4752,0,1524,73809,25692
399,487,109,467,2080,3806,0,1467,77851,29493
486,487,93,497,1188,3090,0,1775,85374,36107
741,420,95,493,1650,2815,0,3010,61998,56270
286,487,94,495,1786,2585,0,1357,84879,36029
706,59,135,413,4888,4157,0,1700,45406,37972
54,487,131,421,3082,5433,0,1100,67970,19340
746,487,108,466,2018,3760,0,1445,78081,28819
656,422,142,398,3997,6014,0,2241,39571,37191
477,420,97,488,1451,3205,0,3544,60813,54471
84,487,77,527,1307,1619,0,1938,93349,43314
425,59,154,371,3835,7946,0,2551,37417,28667
707,487,77,524,1634,1292,0,2619,93031,41376
418,420,163,352,3528,9675,0,1945,32481,27350
149,422,117,444,3206,3580,0,2692,49287,46367
763,59,128,422,4931,3197,0,1678,47559,39594
543,487,103,471,1851,3402,0,1099,80031,29555
412,487,95,486,1507,2958,0,2016,83770,32069
272,487,80,516,1496,1664,0,2899,91270,38701
20,487,90,496,981,3024,0,1491,86220,35049
1396,487,44,587,377,569,0,3785,110971,57235
725,487,80,515,1291,1869,0,2461,91171,38723
692,487,103,468,2028,3225,0,2009,79803,27466
873,487,92,490,1456,2730,0,1290,85061,33454
990,487,117,439,2387,4399,0,981,73401,21759
212,487,114,445,2280,4161,0,1278,74724,22788
80,422,155,362,4227,7708,0,2562,32904,29875
609,59,136,399,5380,3800,0,1831,43261,34309
17,487,102,467,1725,3426,0,1904,80049,26858
720,487,89,492,1734,2182,0,2616,86191,31979
553,487,114,442,2373,4068,0,1120,74541,21800
230,487,73,524,1040,1588,0,2439,94303,40284
168,487,100,470,1826,3124,0,1119,80911,28185
109,487,118,434,2542,4361,0,848,72793,20320
679,59,136,398,5582,3598,0,1478,43123,34402
49,487,82,506,1232,2089,0,2814,89677,35274
870,487,96,476,2007,2553,0,1116,82650,29284
959,487,121,425,3053,4207,0,597,71350,18153
1535,487,51,564,633,642,0,3175,105811,49780
442,487,107,452,2037,3634,0,922,77419,23585
106,487,87,492,1390,2351,0,2311,86839,31636
995,487,101,463,1778,3272,0,993,80093,25867
269,633,192,281,7978,10358,0,1352,19690,18298
68,487,91,483,1619,2476,0,1135,84813,30455
760,59,133,399,5443,3335,0,1523,43633,34245
561,59,144,377,5671,4625,0,1614,39376,29886
515,59,158,348,6481,5922,0,1314,34198,24866
817,487,109,445,2047,3839,0,927,76344,21519
425,420,152,359,3308,8168,0,1944,34393,27924
409,487,124,415,2602,5024,0,861,69909,15135
949,487,100,462,2072,2878,0,1249,80355,24887
769,422,134,394,4383,4528,0,1900,39141,36380
763,420,94,474,1849,2522,0,2141,58333,51627
654,59,136,390,4974,4206,0,1600,42055,32200
107,59,116,430,3146,3524,0,3034,50235,38966
295,487,106,449,2004,3561,0,1027,77566,21983
62,487,98,465,1660,3093,0,1723,81214,24943
675,59,137,387,5322,3994,0,1638,41539,31514
523,59,129,403,4761,3495,0,1741,44691,34571
539,59,129,403,4761,3495,0,1741,44691,34571
597,487,94,472,1388,2983,0,1546,83016,26594
1415,487,110,440,2137,3858,0,894,75736,19950
