src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
315,96,25,209,105,195,0,542,11158,10036
315,135,15,226,34,71,0,351,12945,12129
116,96,52,151,354,972,0,125,6045,5155
90,135,20,213,101,89,0,346,11578,10654
86,135,15,221,68,37,0,535,12480,11295
349,96,1,248,0,0,0,188,15781,14659
117,96,44,162,310,636,0,146,7009,5886
173,96,35,176,328,267,0,293,8281,6826
99,135,16,213,84,36,0,415,11742,10421
315,64,6,230,2,13,0,181,13210,12944
186,96,35,171,341,254,0,273,7981,6281
88,135,17,205,96,40,0,379,11054,9477
278,135,14,210,13,78,0,137,11596,10212
154,135,20,196,101,89,0,74,10235,8801
118,96,43,150,268,635,0,192,6450,4533
142,96,29,176,300,106,0,324,8617,6459
145,96,31,170,313,152,0,280,8164,5921
100,64,5,221,2,8,0,326,12340,11644
112,64,5,221,2,8,0,326,12340,11644
158,96,28,173,275,103,0,369,8518,5991
192,96,28,173,275,103,0,369,8518,5991
21,135,17,191,94,42,0,124,10081,7940
178,135,15,194,84,21,0,124,10401,8196
203,96,23,177,230,23,0,375,9076,6125
356,64,24,174,3,273,0,37,7882,7132
159,96,24,172,244,32,0,369,8754,5583
172,96,25,170,247,53,0,373,8584,5408
102,135,15,189,78,27,0,448,10096,7222
90,315,32,155,314,182,0,228,5931,5776
20,96,22,175,195,36,0,396,9051,5778
175,96,25,168,247,53,0,373,8493,5162
207,96,22,174,221,10,0,356,9003,5692
159,135,16,185,90,30,0,124,9796,7100
146,96,23,171,224,29,0,328,8785,5422
119,315,34,148,379,182,0,162,5411,5305
157,96,32,152,325,171,0,305,7300,3871
179,96,23,169,216,37,0,355,8696,5145
184,96,30,155,158,277,0,420,7569,3946
116,90,84,47,1747,1739,0,38,529,514
206,96,22,170,210,21,0,382,8821,5162
86,90,83,48,1648,1755,0,34,553,541
190,135,16,181,82,38,0,114,9582,6594
117,315,29,155,324,82,0,184,5949,5802
119,90,87,39,1821,1920,0,8,363,370
86,116,84,45,1747,1739,0,32,484,474
119,116,92,28,1981,2205,0,17,183,178
209,96,23,166,163,90,0,443,8570,4682
169,135,14,183,71,20,0,215,9841,6597
206,135,12,187,62,4,0,166,10209,7016
114,315,33,145,365,163,0,175,5214,5051
112,315,30,151,182,253,0,378,5655,5292
100,315,30,151,182,253,0,378,5655,5292
99,315,30,151,342,93,0,210,5655,5460
119,86,81,49,1706,1534,0,37,576,563
105,315,31,148,309,156,0,254,5438,5186
117,90,83,44,1729,1674,0,17,471,458
173,315,35,139,379,216,0,154,4803,4634
117,116,87,35,1930,1811,0,19,295,281
202,96,24,161,230,46,0,360,8292,4228
104,315,32,144,367,129,0,156,5161,4979
748,96,12,184,18,48,0,120,10308,6408
99,90,85,38,1789,1781,0,21,358,324
114,90,80,48,1601,1559,0,21,568,539
117,86,80,48,1697,1463,0,40,556,532
117,119,88,31,1933,1895,0,17,227,221
114,116,86,35,1754,1901,0,26,301,268
112,116,58,91,764,889,0,106,2037,1952
100,116,58,91,764,889,0,106,2037,1952
99,116,86,35,1876,1779,0,25,301,269
105,90,83,41,1725,1678,0,12,420,388
105,116,88,30,1802,2026,0,18,226,191
173,90,68,70,1617,661,0,73,1215,1127
99,86,84,38,1776,1710,0,28,351,324
100,86,54,98,665,766,0,159,2361,2233
112,86,54,98,665,766,0,159,2361,2233
114,86,79,48,1578,1503,0,36,561,531
173,116,79,47,1843,1238,0,11,549,521
114,119,87,31,1803,1938,0,10,231,224
112,119,56,93,777,763,0,110,2122,2046
