src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
194,192,133,0,3089,5689,0,0,0,0
192,191,133,0,3089,5689,0,0,0,0
194,191,133,0,3089,5689,0,0,0,0
191,165,133,0,3089,5689,0,0,0,0
192,165,133,0,3089,5689,0,0,0,0
194,165,133,0,3089,5689,0,0,0,0
165,163,133,0,3089,5689,0,0,0,0
191,163,133,0,3089,5689,0,0,0,0
192,163,133,0,3089,5689,0,0,0,0
194,163,133,0,3089,5689,0,0,0,0
163,148,133,0,3089,5689,0,0,0,0
165,148,133,0,3089,5689,0,0,0,0
191,148,133,0,3089,5689,0,0,0,0
192,148,133,0,3089,5689,0,0,0,0
194,148,133,0,3089,5689,0,0,0,0
148,146,133,0,3089,5689,0,0,0,0
163,146,133,0,3089,5689,0,0,0,0
165,146,133,0,3089,5689,0,0,0,0
191,146,133,0,3089,5689,0,0,0,0
192,146,133,0,3089,5689,0,0,0,0
194,146,133,0,3089,5689,0,0,0,0
146,144,133,0,3089,5689,0,0,0,0
148,144,133,0,3089,5689,0,0,0,0
163,144,133,0,3089,5689,0,0,0,0
165,144,133,0,3089,5689,0,0,0,0
191,144,133,0,3089,5689,0,0,0,0
192,144,133,0,3089,5689,0,0,0,0
194,144,133,0,3089,5689,0,0,0,0
144,135,133,0,3089,5689,0,0,0,0
146,135,133,0,3089,5689,0,0,0,0
148,135,133,0,3089,5689,0,0,0,0
163,135,133,0,3089,5689,0,0,0,0
165,135,133,0,3089,5689,0,0,0,0
191,135,133,0,3089,5689,0,0,0,0
192,135,133,0,3089,5689,0,0,0,0
194,135,133,0,3089,5689,0,0,0,0
135,132,133,0,3089,5689,0,0,0,0
144,132,133,0,3089,5689,0,0,0,0
146,132,133,0,3089,5689,0,0,0,0
148,132,133,0,3089,5689,0,0,0,0
163,132,133,0,3089,5689,0,0,0,0
165,132,133,0,3089,5689,0,0,0,0
191,132,133,0,3089,5689,0,0,0,0
192,132,133,0,3089,5689,0,0,0,0
194,132,133,0,3089,5689,0,0,0,0
132,129,133,0,3089,5689,0,0,0,0
135,129,133,0,3089,5689,0,0,0,0
144,129,133,0,3089,5689,0,0,0,0
146,129,133,0,3089,5689,0,0,0,0
148,129,133,0,3089,5689,0,0,0,0
163,129,133,0,3089,5689,0,0,0,0
165,129,133,0,3089,5689,0,0,0,0
191,129,133,0,3089,5689,0,0,0,0
192,129,133,0,3089,5689,0,0,0,0
194,129,133,0,3089,5689,0,0,0,0
129,113,133,0,3089,5689,0,0,0,0
132,113,133,0,3089,5689,0,0,0,0
135,113,133,0,3089,5689,0,0,0,0
144,113,133,0,3089,5689,0,0,0,0
146,113,133,0,3089,5689,0,0,0,0
148,113,133,0,3089,5689,0,0,0,0
163,113,133,0,3089,5689,0,0,0,0
165,113,133,0,3089,5689,0,0,0,0
191,113,133,0,3089,5689,0,0,0,0
192,113,133,0,3089,5689,0,0,0,0
194,113,133,0,3089,5689,0,0,0,0
113,110,133,0,3089,5689,0,0,0,0
129,110,133,0,3089,5689,0,0,0,0
132,110,133,0,3089,5689,0,0,0,0
135,110,133,0,3089,5689,0,0,0,0
144,110,133,0,3089,5689,0,0,0,0
146,110,133,0,3089,5689,0,0,0,0
148,110,133,0,3089,5689,0,0,0,0
163,110,133,0,3089,5689,0,0,0,0
165,110,133,0,3089,5689,0,0,0,0
191,110,133,0,3089,5689,0,0,0,0
192,110,133,0,3089,5689,0,0,0,0
194,110,133,0,3089,5689,0,0,0,0
110,106,133,0,3089,5689,0,0,0,0
113,106,133,0,3089,5689,0,0,0,0
129,106,133,0,3089,5689,0,0,0,0
132,106,133,0,3089,5689,0,0,0,0
135,106,133,0,3089,5689,0,0,0,0
144,106,133,0,3089,5689,0,0,0,0
146,106,133,0,3089,5689,0,0,0,0
148,106,133,0,3089,5689,0,0,0,0
163,106,133,0,3089,5689,0,0,0,0
165,106,133,0,3089,5689,0,0,0,0
191,106,133,0,3089,5689,0,0,0,0
192,106,133,0,3089,5689,0,0,0,0
194,106,133,0,3089,5689,0,0,0,0
106,97,133,0,3089,5689,0,0,0,0
110,97,133,0,3089,5689,0,0,0,0
113,97,133,0,3089,5689,0,0,0,0
129,97,133,0,3089,5689,0,0,0,0
132,97,133,0,3089,5689,0,0,0,0
135,97,133,0,3089,5689,0,0,0,0
144,97,133,0,3089,5689,0,0,0,0
146,97,133,0,3089,5689,0,0,0,0
148,97,133,0,3089,5689,0,0,0,0
163,97,133,0,3089,5689,0,0,0,0
165,97,133,0,3089,5689,0,0,0,0
191,97,133,0,3089,5689,0,0,0,0
192,97,133,0,3089,5689,0,0,0,0
194,97,133,0,3089,5689,0,0,0,0
97,81,133,0,3089,5689,0,0,0,0
106,81,133,0,3089,5689,0,0,0,0
110,81,133,0,3089,5689,0,0,0,0
113,81,133,0,3089,5689,0,0,0,0
129,81,133,0,3089,5689,0,0,0,0
132,81,133,0,3089,5689,0,0,0,0
135,81,133,0,3089,5689,0,0,0,0
144,81,133,0,3089,5689,0,0,0,0
146,81,133,0,3089,5689,0,0,0,0
148,81,133,0,3089,5689,0,0,0,0
163,81,133,0,3089,5689,0,0,0,0
165,81,133,0,3089,5689,0,0,0,0
191,81,133,0,3089,5689,0,0,0,0
192,81,133,0,3089,5689,0,0,0,0
194,81,133,0,3089,5689,0,0,0,0
198,194,62,135,1204,687,0,1064,4501,3480
198,192,62,135,1204,687,0,1064,4501,3480
198,191,62,135,1204,687,0,1064,4501,3480
198,165,62,135,1204,687,0,1064,4501,3480
198,163,62,135,1204,687,0,1064,4501,3480
198,148,62,135,1204,687,0,1064,4501,3480
198,146,62,135,1204,687,0,1064,4501,3480
198,144,62,135,1204,687,0,1064,4501,3480
198,135,62,135,1204,687,0,1064,4501,3480
198,132,62,135,1204,687,0,1064,4501,3480
198,129,62,135,1204,687,0,1064,4501,3480
198,113,62,135,1204,687,0,1064,4501,3480
198,110,62,135,1204,687,0,1064,4501,3480
198,106,62,135,1204,687,0,1064,4501,3480
198,97,62,135,1204,687,0,1064,4501,3480
198,81,62,135,1204,687,0,1064,4501,3480
201,194,60,134,1156,614,0,1060,4458,3393
202,194,60,134,1156,614,0,1060,4458,3393
204,194,60,134,1156,614,0,1060,4458,3393
207,194,60,134,1156,614,0,1060,4458,3393
210,194,60,134,1156,614,0,1060,4458,3393
211,194,60,134,1156,614,0,1060,4458,3393
212,194,60,134,1156,614,0,1060,4458,3393
213,194,60,134,1156,614,0,1060,4458,3393
215,194,60,134,1156,614,0,1060,4458,3393
216,194,60,134,1156,614,0,1060,4458,3393
217,194,60,134,1156,614,0,1060,4458,3393
218,194,60,134,1156,614,0,1060,4458,3393
219,194,60,134,1156,614,0,1060,4458,3393
225,194,60,134,1156,614,0,1060,4458,3393
226,194,60,134,1156,614,0,1060,4458,3393
201,192,60,134,1156,614,0,1060,4458,3393
202,192,60,134,1156,614,0,1060,4458,3393
204,192,60,134,1156,614,0,1060,4458,3393
207,192,60,134,1156,614,0,1060,4458,3393
210,192,60,134,1156,614,0,1060,4458,3393
211,192,60,134,1156,614,0,1060,4458,3393
212,192,60,134,1156,614,0,1060,4458,3393
213,192,60,134,1156,614,0,1060,4458,3393
215,192,60,134,1156,614,0,1060,4458,3393
216,192,60,134,1156,614,0,1060,4458,3393
217,192,60,134,1156,614,0,1060,4458,3393
218,192,60,134,1156,614,0,1060,4458,3393
219,192,60,134,1156,614,0,1060,4458,3393
225,192,60,134,1156,614,0,1060,4458,3393
226,192,60,134,1156,614,0,1060,4458,3393
201,191,60,134,1156,614,0,1060,4458,3393
202,191,60,134,1156,614,0,1060,4458,3393
204,191,60,134,1156,614,0,1060,4458,3393
207,191,60,134,1156,614,0,1060,4458,3393
