src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
71,93,17,44,48,88,0,0,562,384
163,93,12,51,17,49,0,6,757,512
252,93,6,62,3,12,0,0,1074,817
457,93,11,52,39,16,0,3,794,529
357,93,12,47,41,25,0,3,711,367
186,93,12,40,38,28,0,2,669,109
355,93,13,38,25,53,0,0,631,72
110,93,7,49,15,6,0,0,882,294
66,93,10,43,20,25,0,0,747,156
137,93,5,52,5,5,0,5,974,347
169,93,8,46,18,10,0,1,830,204
265,93,11,40,20,35,0,6,704,70
321,93,7,47,15,6,0,2,871,208
256,93,9,41,36,0,0,3,780,37
354,93,9,41,36,0,0,3,780,37
188,93,9,40,36,0,0,0,780,0
314,93,9,40,36,0,0,0,780,0
493,93,9,40,36,0,0,0,780,0
511,93,9,40,36,0,0,0,780,0
165,93,4,49,3,3,0,0,996,180
463,93,8,41,11,17,0,0,820,0
282,93,4,48,2,4,0,0,993,135
298,93,7,42,16,5,0,0,861,0
397,93,4,48,1,5,0,0,993,135
75,93,7,42,16,5,0,0,861,0
11,93,5,46,5,5,0,0,947,88
213,93,6,43,15,0,0,0,903,0
266,93,6,43,15,0,0,0,903,0
297,93,6,43,15,0,0,0,903,0
333,93,3,49,2,1,0,0,1038,138
453,93,6,43,15,0,0,0,903,0
87,93,6,43,15,0,0,0,903,0
163,71,5,45,6,4,0,5,486,499
7,93,6,43,15,0,0,0,903,0
120,93,5,44,10,0,0,0,946,0
162,93,5,44,10,0,0,0,946,0
475,93,2,50,0,1,0,0,1084,141
252,71,5,44,8,2,0,3,466,477
457,71,12,30,43,23,0,0,214,221
13,93,5,44,10,0,0,0,946,0
12,93,5,44,10,0,0,0,946,0
290,93,3,46,3,0,0,0,1035,0
423,93,3,46,3,0,0,0,1035,0
451,93,2,48,1,0,0,0,1081,47
377,93,2,47,1,0,0,0,1081,0
381,93,2,47,1,0,0,0,1081,0
77,93,2,47,1,0,0,0,1081,0
357,71,17,17,52,84,0,0,76,60
65,93,2,47,1,0,0,0,1081,0
147,93,1,48,0,0,0,0,1128,0
261,93,1,48,0,0,0,0,1128,0
318,93,1,48,0,0,0,0,1128,0
342,93,0,49,0,0,0,0,1176,0
410,93,0,49,0,0,0,0,1176,0
389,71,12,24,14,52,0,0,157,119
357,457,11,25,41,14,0,1,146,153
357,252,5,37,8,2,0,0,326,340
389,163,2,41,1,0,0,7,412,401
