src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
663,215,10,317,0,45,0,70,25384,24632
1671,215,16,240,2,118,0,85,17089,11506
604,215,1,264,0,0,0,63,20428,14225
661,215,4,255,0,6,0,184,19435,12766
210,215,4,254,0,6,0,182,19366,12583
1105,215,3,246,0,3,0,129,18975,11031
2173,215,1,249,0,0,0,142,19408,11326
785,215,2,246,0,1,0,52,19102,10981
744,215,5,238,1,9,0,80,18267,9856
1110,215,3,230,0,3,0,86,18151,8098
879,215,3,228,0,3,0,49,18066,7763
2669,215,0,234,0,0,0,74,18756,8431
507,215,1,231,0,0,0,82,18481,8002
763,215,1,231,0,0,0,41,18481,8043
632,215,1,230,0,0,0,79,18439,7817
105,215,2,227,0,1,0,97,18171,7383
482,215,2,226,0,1,0,95,18132,7198
312,215,2,224,0,1,0,73,18057,6846
1614,215,1,226,0,0,0,23,18281,7121
2554,215,3,222,0,3,0,38,17835,6658
439,215,4,219,0,6,0,45,17581,6245
945,215,2,223,0,1,0,68,18021,6664
2877,215,2,222,0,1,0,71,17986,6474
818,215,4,217,0,6,0,72,17516,5848
1007,215,1,220,0,0,0,36,18074,5980
1963,215,5,212,0,10,0,73,17214,5079
3207,215,2,217,0,1,0,96,17826,5514
2523,215,2,216,0,1,0,96,17797,5327
1719,215,0,219,0,0,0,24,18201,5646
2465,215,1,217,0,0,0,31,17984,5421
347,215,0,218,0,0,0,22,18172,5459
5551,663,0,217,0,0,0,15,13224,10197
384,663,1,215,0,0,0,23,13009,9973
202,663,2,212,0,1,0,107,12730,9529
1125,215,3,209,1,2,0,27,17458,4251
1888,215,4,207,0,6,0,15,17251,4055
61,76,2,211,0,1,0,62,11045,11048
24,215,0,215,0,0,0,46,18091,4868
499,215,1,211,0,0,0,29,17831,4295
2906,215,4,205,2,4,0,33,17210,3667
4531,215,0,213,0,0,0,40,18042,4496
781,215,2,208,0,1,0,31,17601,3896
1394,215,2,208,0,1,0,11,17601,3916
2249,215,0,212,0,0,0,32,18019,4315
765,215,0,211,0,0,0,56,17997,4102
812,215,1,209,0,0,0,53,17788,3895
981,215,1,209,0,0,0,53,17788,3895
1023,215,2,207,0,1,0,53,17581,3687
1599,215,2,207,0,1,0,36,17581,3704
5202,215,4,203,0,6,0,23,17173,3307
4982,215,2,205,0,1,0,39,17544,3327
684,215,0,208,0,0,0,40,17937,3551
823,215,1,206,0,0,0,55,17731,3329
1304,215,2,204,0,1,0,21,17527,3158
2607,215,1,206,0,0,0,17,17731,3367
70,215,4,200,0,6,0,18,17125,2757
1278,215,0,207,0,0,0,47,17919,3355
2251,215,3,201,0,3,0,17,17310,2773
2829,215,0,207,0,0,0,47,17919,3355
5716,215,1,205,0,0,0,36,17714,3160
1205,215,0,206,0,0,0,21,17902,3192
366,663,3,199,0,3,0,58,11871,7772
2215,215,0,205,0,0,0,11,17886,3013
2438,215,0,205,0,0,0,33,17886,2991
736,215,0,204,0,0,0,10,17871,2825
2795,215,2,200,0,1,0,11,17469,2420
857,215,0,203,0,0,0,8,17857,2638
1869,215,3,197,0,3,0,24,17260,2022
2894,215,1,201,0,0,0,51,17656,2393
5593,215,0,203,0,0,0,17,17857,2629
451,663,0,202,0,0,0,16,12309,7976
527,215,3,196,0,3,0,26,17250,1834
574,215,1,200,0,0,0,30,17644,2226
749,215,0,202,0,0,0,45,17844,2412
1660,215,1,200,0,0,0,2,17644,2254
1913,215,3,196,0,3,0,29,17250,1831
1930,215,2,198,0,1,0,36,17446,2021
2441,215,0,202,0,0,0,18,17844,2439
456,663,1,199,0,0,0,60,12057,7584
4495,215,0,201,0,0,0,17,17832,2251
478,215,1,198,0,0,0,18,17623,1862
821,215,0,200,0,0,0,7,17821,2072
998,215,1,198,0,0,0,36,17623,1844
2218,215,0,200,0,0,0,33,17821,2046
2544,215,4,192,0,6,0,14,17041,1281
2624,215,0,200,0,0,0,18,17821,2061
3330,215,0,200,0,0,0,32,17821,2047
3459,215,0,200,0,0,0,10,17821,2069
3493,215,1,198,0,0,0,27,17623,1853
6,76,13,174,1,77,0,39,7626,7386
256,215,2,195,0,1,0,14,17419,1482
291,215,0,199,0,0,0,31,17811,1859
473,215,0,199,0,0,0,19,17811,1871
2041,215,0,199,0,0,0,14,17811,1876
2168,215,0,199,0,0,0,21,17811,1869
2186,215,0,199,0,0,0,16,17811,1874
4339,215,1,197,0,0,0,28,17614,1664
4848,215,1,197,0,0,0,32,17614,1660
5378,215,1,197,0,0,0,32,17614,1660
116,215,1,197,0,0,0,35,17614,1657
518,215,0,198,0,0,0,35,17802,1666
910,215,0,198,0,0,0,7,17802,1694
4492,215,1,196,0,0,0,15,17606,1489
5739,215,0,198,0,0,0,38,17802,1663
647,215,0,197,0,0,0,22,17794,1490
985,215,0,197,0,0,0,14,17794,1498
1113,215,1,195,0,0,0,14,17599,1302
1192,215,0,197,0,0,0,28,17794,1484
1591,215,0,197,0,0,0,9,17794,1503
1666,215,0,197,0,0,0,7,17794,1505
1849,215,1,195,0,0,0,4,17599,1312
2864,215,0,197,0,0,0,2,17794,1510
3430,215,0,197,0,0,0,14,17794,1498
570,215,0,196,0,0,0,4,17787,1319
691,215,0,196,0,0,0,24,17787,1299
1928,215,0,196,0,0,0,20,17787,1303
2351,215,0,196,0,0,0,21,17787,1302
5795,215,1,194,0,0,0,9,17593,1119
5850,215,0,196,0,0,0,0,17787,1323
113,663,0,196,0,0,0,83,12006,7021
1087,663,0,195,0,0,0,41,11959,6915
642,215,0,195,0,0,0,13,17781,1121
1156,215,0,195,0,0,0,5,17781,1129
1380,215,0,195,0,0,0,15,17781,1119
3363,215,0,195,0,0,0,18,17781,1116
4656,215,0,195,0,0,0,5,17781,1129
4813,215,0,195,0,0,0,1,17781,1133
4846,215,1,193,0,0,0,15,17588,925
5285,215,0,195,0,0,0,5,17781,1129
5871,215,1,193,0,0,0,15,17588,925
272,215,1,192,0,0,0,16,17584,736
327,215,0,194,0,0,0,25,17776,920
641,215,0,194,0,0,0,12,17776,933
643,215,1,192,0,0,0,7,17584,745
1398,215,0,194,0,0,0,6,17776,939
1596,215,0,194,0,0,0,22,17776,923
1865,215,1,192,0,0,0,7,17584,745
3006,215,0,194,0,0,0,7,17776,938
4225,215,0,194,0,0,0,14,17776,931
5638,215,0,194,0,0,0,21,17776,924
559,215,2,189,0,1,0,2,17392,372
831,215,0,193,0,0,0,3,17772,753
1276,215,0,193,0,0,0,5,17772,751
