src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
1222,1679,8,1094,0,28,0,1484,402346,194041
1222,1679,8,1094,0,28,0,1484,402346,194041
105,1679,15,1072,0,105,0,1550,393036,179470
105,1679,15,1072,0,105,0,1550,393036,179470
697,1679,13,1056,0,78,0,1562,391152,164326
697,1679,13,1056,0,78,0,1562,391152,164326
696,1679,8,1056,0,28,0,1252,394537,161251
696,1679,8,1056,0,28,0,1252,394537,161251
358,1679,14,1040,0,91,0,1370,387529,151381
358,1679,14,1040,0,91,0,1370,387529,151381
520,1679,9,1038,0,36,0,1154,390643,146406
520,1679,9,1038,0,36,0,1154,390643,146406
110,1679,10,1036,0,45,0,866,389607,145657
110,1679,10,1036,0,45,0,866,389607,145657
1192,1679,3,1000,0,3,0,1080,389376,109044
1192,1679,3,1000,0,3,0,1080,389376,109044
1227,1679,9,980,0,36,0,1068,382494,96148
1227,1679,9,980,0,36,0,1068,382494,96148
1345,1679,5,976,0,10,0,1124,385112,89564
1345,1679,5,976,0,10,0,1124,385112,89564
321,1679,8,968,0,28,0,708,381997,85323
321,1679,8,968,0,28,0,708,381997,85323
1142,1679,6,968,0,15,0,728,383541,83759
1142,1679,6,968,0,15,0,728,383541,83759
1330,1679,2,968,0,1,0,902,386653,80473
1330,1679,2,968,0,1,0,902,386653,80473
661,1679,4,958,0,6,0,814,384198,73391
661,1679,4,958,0,6,0,814,384198,73391
59,1679,9,938,0,36,0,168,378693,60592
59,1679,9,938,0,36,0,168,378693,60592
1103,1679,0,948,0,0,0,636,386611,61631
1103,1679,0,948,0,0,0,636,386611,61631
68,1679,2,932,0,1,0,748,383971,49127
68,1679,2,932,0,1,0,748,383971,49127
1278,1679,3,928,0,3,0,376,382932,46820
1278,1679,3,928,0,3,0,376,382932,46820
2,1679,1,931,0,0,0,130,384735,48050
2,1679,1,931,0,0,0,130,384735,48050
1120,1679,0,928,0,0,0,552,385401,44175
1120,1679,0,928,0,0,0,552,385401,44175
692,1679,2,924,0,1,0,512,383551,42363
692,1679,2,924,0,1,0,512,383551,42363
269,1679,2,920,0,1,0,238,383365,39137
269,1679,2,920,0,1,0,238,383365,39137
562,1679,3,916,0,3,0,654,382362,36054
562,1679,3,916,0,3,0,654,382362,36054
243,1679,0,920,0,0,0,160,385029,37551
243,1679,0,920,0,0,0,160,385029,37551
432,1679,2,914,0,1,0,80,383116,34045
432,1679,2,914,0,1,0,80,383116,34045
1493,1679,1,910,0,0,0,152,383811,29632
1493,1679,1,910,0,0,0,152,383811,29632
315,1679,7,896,0,21,0,92,378340,22528
315,1679,7,896,0,21,0,92,378340,22528
103,1679,1,908,0,0,0,56,383746,27976
103,1679,1,908,0,0,0,56,383746,27976
529,1679,2,904,0,1,0,120,382781,25255
529,1679,2,904,0,1,0,120,382781,25255
84,1679,3,902,0,3,0,272,381879,24200
84,1679,3,902,0,3,0,272,381879,24200
69,1679,1,900,0,0,0,162,383526,20862
69,1679,1,900,0,0,0,162,383526,20862
60,1679,1,900,0,0,0,104,383526,20920
60,1679,1,900,0,0,0,104,383526,20920
677,1679,1,898,0,0,0,422,383481,18850
677,1679,1,898,0,0,0,422,383481,18850
309,1679,2,896,0,1,0,60,382585,18315
309,1679,2,896,0,1,0,60,382585,18315
217,1679,2,896,0,1,0,44,382585,18331
217,1679,2,896,0,1,0,44,382585,18331
164,1679,1,898,0,0,0,210,383481,19062
164,1679,1,898,0,0,0,210,383481,19062
274,1679,2,894,0,1,0,54,382546,16571
274,1679,2,894,0,1,0,54,382546,16571
249,1679,1,896,0,0,0,74,383440,17446
249,1679,1,896,0,0,0,74,383440,17446
16,1679,0,898,0,0,0,60,384336,18357
16,1679,0,898,0,0,0,60,384336,18357
1090,1679,3,890,0,3,0,44,381621,13940
1090,1679,3,890,0,3,0,44,381621,13940
1534,1679,0,894,0,0,0,8,384262,14901
1534,1679,0,894,0,0,0,8,384262,14901
1484,1679,3,888,0,3,0,16,381592,12220
1484,1679,3,888,0,3,0,16,381592,12220
975,1679,0,894,0,0,0,340,384262,14569
975,1679,0,894,0,0,0,340,384262,14569
489,1679,0,894,0,0,0,44,384262,14865
489,1679,0,894,0,0,0,44,384262,14865
296,1679,0,894,0,0,0,236,384262,14673
296,1679,0,894,0,0,0,236,384262,14673
258,1679,1,892,0,0,0,112,383370,13904
258,1679,1,892,0,0,0,112,383370,13904
1489,1679,0,892,0,0,0,132,384231,13023
1489,1679,0,892,0,0,0,132,384231,13023
627,1679,2,888,0,1,0,88,382453,11287
627,1679,2,888,0,1,0,88,382453,11287
466,1679,0,892,0,0,0,44,384231,13111
466,1679,0,892,0,0,0,44,384231,13111
144,1679,3,886,0,3,0,58,381567,10430
144,1679,3,886,0,3,0,58,381567,10430
