src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
456,2036,29,1088,0,406,0,2072,297156,292100
456,2036,29,1088,0,406,0,2072,297156,292100
106,2036,24,898,0,276,0,1040,221316,180397
106,2036,24,898,0,276,0,1040,221316,180397
42,2036,23,878,0,253,0,1324,215691,167988
42,2036,23,878,0,253,0,1324,215691,167988
796,2036,17,860,0,136,0,752,212694,155924
796,2036,17,860,0,136,0,752,212694,155924
4099,2036,15,850,0,105,0,538,210825,149462
4099,2036,15,850,0,105,0,538,210825,149462
134,2036,17,836,0,136,0,1214,206706,141110
134,2036,17,836,0,136,0,1214,206706,141110
358,2036,22,810,0,231,0,1302,198964,127379
358,2036,22,810,0,231,0,1302,198964,127379
42,456,35,770,0,595,0,1282,160161,134622
42,456,35,770,0,595,0,1282,160161,134622
59,2036,14,802,0,91,0,906,200400,119895
59,2036,14,802,0,91,0,906,200400,119895
151,2036,11,804,0,55,0,434,202006,120366
151,2036,11,804,0,55,0,434,202006,120366
282,2036,5,808,0,10,0,142,205248,120638
282,2036,5,808,0,10,0,142,205248,120638
94,2036,8,794,0,28,0,722,201312,112787
94,2036,8,794,0,28,0,722,201312,112787
2885,456,23,760,0,253,0,1096,160404,126920
2885,456,23,760,0,253,0,1096,160404,126920
2853,2036,17,766,0,136,0,802,192531,99662
2853,2036,17,766,0,136,0,802,192531,99662
287,2036,17,762,0,136,0,1024,191869,97048
287,2036,17,762,0,136,0,1024,191869,97048
2253,2036,11,772,0,55,0,862,196134,100610
2253,2036,11,772,0,55,0,862,196134,100610
93,2036,13,762,0,78,0,698,193621,95622
93,2036,13,762,0,78,0,698,193621,95622
134,456,22,742,0,231,0,1164,156314,117433
134,456,22,742,0,231,0,1164,156314,117433
88,2036,13,758,0,78,0,276,192991,93636
88,2036,13,758,0,78,0,276,192991,93636
1364,2036,3,774,0,3,0,190,200007,98954
1364,2036,3,774,0,3,0,190,200007,98954
3710,2036,13,744,0,78,0,790,190912,84694
3710,2036,13,744,0,78,0,790,190912,84694
358,456,30,710,0,435,0,1316,146986,103393
358,456,30,710,0,435,0,1316,146986,103393
127,2036,3,756,0,3,0,272,197262,87856
127,2036,3,756,0,3,0,272,197262,87856
112,2036,9,744,0,36,0,530,192768,83098
112,2036,9,744,0,36,0,530,192768,83098
322,2036,4,752,0,6,0,382,196225,85769
322,2036,4,752,0,6,0,382,196225,85769
221,2036,11,734,0,55,0,924,190491,77596
221,2036,11,734,0,55,0,924,190491,77596
3853,2036,4,746,0,6,0,632,195400,81853
3853,2036,4,746,0,6,0,632,195400,81853
296,2036,14,724,0,91,0,658,187803,73265
296,2036,14,724,0,91,0,658,187803,73265
128,2036,11,730,0,55,0,598,189981,75506
128,2036,11,730,0,55,0,598,189981,75506
113,2036,9,734,0,36,0,596,191443,76972
113,2036,9,734,0,36,0,596,191443,76972
353,2036,8,732,0,28,0,472,191671,75403
353,2036,8,732,0,28,0,472,191671,75403
26,456,20,706,0,190,0,1010,149220,98635
26,456,20,706,0,190,0,1010,149220,98635
124,456,18,708,0,153,0,1156,150243,98879
124,456,18,708,0,153,0,1156,150243,98879
3889,2036,13,716,0,78,0,584,187342,68044
3889,2036,13,716,0,78,0,584,187342,68044
151,456,6,730,0,15,0,330,158460,107295
151,456,6,730,0,15,0,330,158460,107295
1443,2036,4,730,0,6,0,164,193376,72545
1443,2036,4,730,0,6,0,164,193376,72545
888,2036,12,712,0,66,0,422,187389,65305
888,2036,12,712,0,66,0,422,187389,65305
230,2036,3,728,0,3,0,524,193636,70468
230,2036,3,728,0,3,0,524,193636,70468
176,456,13,708,0,78,0,844,151858,97576
176,456,13,708,0,78,0,844,151858,97576
3911,2036,14,704,0,91,0,636,185553,61267
3911,2036,14,704,0,91,0,636,185553,61267
767,2036,11,704,0,55,0,386,187056,60014
767,2036,11,704,0,55,0,386,187056,60014
4067,2036,3,718,0,3,0,566,192531,64306
4067,2036,3,718,0,3,0,566,192531,64306
1903,2036,4,712,0,6,0,284,191405,61427
1903,2036,4,712,0,6,0,284,191405,61427
2817,2036,11,694,0,55,0,346,186111,54014
2817,2036,11,694,0,55,0,346,186111,54014
4394,2036,7,698,0,21,0,224,188533,54496
4394,2036,7,698,0,21,0,224,188533,54496
955,2036,6,700,0,15,0,364,189231,55055
955,2036,6,700,0,15,0,364,189231,55055
1012,456,18,676,0,153,0,866,144531,82753
1012,456,18,676,0,153,0,866,144531,82753
1395,2036,5,700,0,10,0,216,189750,54684
1395,2036,5,700,0,10,0,216,189750,54684
463,2036,4,702,0,6,0,398,190450,55203
463,2036,4,702,0,6,0,398,190450,55203
8,2036,10,690,0,45,0,616,186280,50809
8,2036,10,690,0,45,0,616,186280,50809
810,2036,8,692,0,28,0,408,187491,51187
810,2036,8,692,0,28,0,408,187491,51187
603,456,12,682,0,66,0,916,147624,83681
603,456,12,682,0,66,0,916,147624,83681
6607,2036,5,694,0,10,0,252,189231,50988
6607,2036,5,694,0,10,0,252,189231,50988
440,2036,2,700,0,1,0,616,191319,52715
440,2036,2,700,0,1,0,616,191319,52715
2308,2036,14,674,0,91,0,232,182928,43641
2308,2036,14,674,0,91,0,232,182928,43641
63,2036,9,684,0,36,0,468,186318,46800
63,2036,9,684,0,36,0,468,186318,46800
3868,2036,12,674,0,66,0,236,183988,42577
3868,2036,12,674,0,66,0,236,183988,42577
5451,2036,6,682,0,15,0,274,187764,44183
5451,2036,6,682,0,15,0,274,187764,44183
1820,2036,3,686,0,3,0,700,189667,44588
1820,2036,3,686,0,3,0,700,189667,44588
7261,2036,2,686,0,1,0,188,190206,44561
7261,2036,2,686,0,1,0,188,190206,44561
342,2036,3,684,0,3,0,208,189522,43856
342,2036,3,684,0,3,0,208,189522,43856
