src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
2821,1258,29,1342,0,406,0,820,568595,330396
2821,1258,29,1342,0,406,0,820,568595,330396
3263,1258,19,1334,0,171,0,844,573103,315164
3263,1258,19,1334,0,171,0,844,573103,315164
3,1258,17,1280,0,136,0,758,559504,258298
3,1258,17,1280,0,136,0,758,559504,258298
2853,1258,19,1220,0,171,0,574,544546,198470
2853,1258,19,1220,0,171,0,574,544546,198470
3257,1258,14,1180,0,91,0,544,541991,153075
3257,1258,14,1180,0,91,0,544,541991,153075
1201,1258,7,1138,0,21,0,134,543153,103666
1201,1258,7,1138,0,21,0,134,543153,103666
49,1258,2,1110,0,1,0,44,545614,69837
49,1258,2,1110,0,1,0,44,545614,69837
1247,1258,8,1086,0,28,0,380,538342,50433
1247,1258,8,1086,0,28,0,380,538342,50433
982,1258,2,1086,0,1,0,122,544306,44727
982,1258,2,1086,0,1,0,122,544306,44727
2885,1258,6,1076,0,15,0,134,539907,38309
2885,1258,6,1076,0,15,0,134,539907,38309
1253,1258,6,1076,0,15,0,342,539907,38101
1253,1258,6,1076,0,15,0,342,539907,38101
2207,1258,2,1078,0,1,0,28,543998,36477
2207,1258,2,1078,0,1,0,28,543998,36477
81,1258,3,1076,0,3,0,72,542922,35356
81,1258,3,1076,0,3,0,72,542922,35356
170,1258,1,1074,0,0,0,76,544881,31244
170,1258,1,1074,0,0,0,76,544881,31244
1363,1258,4,1066,0,6,0,362,541620,25663
1363,1258,4,1066,0,6,0,362,541620,25663
322,1258,3,1068,0,3,0,208,542686,26884
322,1258,3,1068,0,3,0,208,542686,26884
911,1258,4,1064,0,6,0,276,541573,23667
911,1258,4,1064,0,6,0,276,541573,23667
527,1258,5,1062,0,10,0,218,540511,22662
527,1258,5,1062,0,10,0,218,540511,22662
2796,1258,5,1060,0,10,0,312,540470,20488
2796,1258,5,1060,0,10,0,312,540470,20488
554,1258,1,1068,0,0,0,90,544722,24966
554,1258,1,1068,0,0,0,90,544722,24966
2367,1258,0,1068,0,0,0,24,545743,24011
2367,1258,0,1068,0,0,0,24,545743,24011
1012,1258,0,1068,0,0,0,96,545743,23939
1012,1258,0,1068,0,0,0,96,545743,23939
494,1258,2,1064,0,1,0,36,543613,21867
494,1258,2,1064,0,1,0,36,543613,21867
2770,1258,2,1062,0,1,0,28,543574,19789
2770,1258,2,1062,0,1,0,28,543574,19789
767,1258,3,1060,0,3,0,358,542514,18398
767,1258,3,1060,0,3,0,358,542514,18398
604,1258,1,1064,0,0,0,36,544636,20844
604,1258,1,1064,0,0,0,36,544636,20844
18,1258,0,1066,0,0,0,64,545700,21881
18,1258,0,1066,0,0,0,64,545700,21881
1349,1258,2,1060,0,1,0,40,543539,17691
1352,1258,1,1062,0,0,0,92,544599,18700
2826,1258,4,1056,0,6,0,244,541425,15371
3059,1258,5,1054,0,10,0,274,540371,14286
3241,1258,4,1056,0,6,0,312,541425,15303
1349,1258,2,1060,0,1,0,40,543539,17691
1352,1258,1,1062,0,0,0,92,544599,18700
2826,1258,4,1056,0,6,0,244,541425,15371
3059,1258,5,1054,0,10,0,274,540371,14286
3241,1258,4,1056,0,6,0,312,541425,15303
757,1258,1,1062,0,0,0,302,544599,18490
757,1258,1,1062,0,0,0,302,544599,18490
1267,1258,3,1054,0,3,0,144,542427,12360
2654,1258,1,1058,0,0,0,20,544537,14596
2831,1258,1,1058,0,0,0,118,544537,14498
2873,1258,3,1054,0,3,0,210,542427,12294
1267,1258,3,1054,0,3,0,144,542427,12360
2654,1258,1,1058,0,0,0,20,544537,14596
2831,1258,1,1058,0,0,0,118,544537,14498
2873,1258,3,1054,0,3,0,210,542427,12294
1256,1258,1,1058,0,0,0,16,544537,14600
1256,1258,1,1058,0,0,0,16,544537,14600
1184,1258,0,1060,0,0,0,196,545595,15479
1184,1258,0,1060,0,0,0,196,545595,15479
817,1258,0,1060,0,0,0,100,545595,15575
817,1258,0,1060,0,0,0,100,545595,15575
389,1258,0,1060,0,0,0,64,545595,15611
389,1258,0,1060,0,0,0,64,545595,15611
1321,1258,0,1058,0,0,0,76,545568,13509
2394,1258,0,1058,0,0,0,28,545568,13557
2988,1258,3,1052,0,3,0,208,542406,10212
3208,1258,2,1054,0,1,0,254,543458,11219
1321,1258,0,1058,0,0,0,76,545568,13509
2394,1258,0,1058,0,0,0,28,545568,13557
2988,1258,3,1052,0,3,0,208,542406,10212
3208,1258,2,1054,0,1,0,254,543458,11219
1136,1258,2,1054,0,1,0,58,543458,11415
1136,1258,2,1054,0,1,0,58,543458,11415
746,1258,0,1058,0,0,0,76,545568,13509
746,1258,0,1058,0,0,0,76,545568,13509
658,1258,1,1056,0,0,0,8,544512,12520
658,1258,1,1056,0,0,0,8,544512,12520
633,1258,0,1058,0,0,0,68,545568,13517
633,1258,0,1058,0,0,0,68,545568,13517
485,1258,0,1058,0,0,0,8,545568,13577
485,1258,0,1058,0,0,0,8,545568,13577
1546,1258,0,1056,0,0,0,208,545545,11287
2390,1258,2,1052,0,1,0,178,543439,9209
2774,1258,2,1052,0,1,0,16,543439,9371
2809,1258,1,1054,0,0,0,124,544491,10316
2810,1258,1,1054,0,0,0,98,544491,10342
1546,1258,0,1056,0,0,0,208,545545,11287
2390,1258,2,1052,0,1,0,178,543439,9209
2774,1258,2,1052,0,1,0,16,543439,9371
2809,1258,1,1054,0,0,0,124,544491,10316
2810,1258,1,1054,0,0,0,98,544491,10342
897,1258,1,1054,0,0,0,0,544491,10440
897,1258,1,1054,0,0,0,0,544491,10440
802,1258,0,1056,0,0,0,16,545545,11479
802,1258,0,1056,0,0,0,16,545545,11479
755,1258,1,1054,0,0,0,56,544491,10384
755,1258,1,1054,0,0,0,56,544491,10384
457,1258,0,1056,0,0,0,80,545545,11415
457,1258,0,1056,0,0,0,80,545545,11415
