src,dst,triangle,2-star,4-clique,4-chordal-cycle,4-tailed-triangle,4-cycle,3-star,4-path
844,819,2,61,0,1,0,1,920,909
253,147,0,61,0,0,0,0,1500,330
70,147,0,59,0,0,0,0,1491,220
851,147,0,58,0,0,0,0,1488,165
535,147,0,57,0,0,0,0,1486,110
570,147,0,57,0,0,0,1,1486,109
242,147,0,56,0,0,0,0,1485,55
282,147,0,56,0,0,0,0,1485,55
376,147,0,56,0,0,0,0,1485,55
511,147,0,56,0,0,0,1,1485,54
597,147,0,56,0,0,0,0,1485,55
177,147,0,55,0,0,0,0,1485,0
195,147,0,55,0,0,0,0,1485,0
246,147,0,55,0,0,0,0,1485,0
295,147,0,55,0,0,0,0,1485,0
297,147,0,55,0,0,0,0,1485,0
299,147,0,55,0,0,0,0,1485,0
300,147,0,55,0,0,0,0,1485,0
312,147,0,55,0,0,0,0,1485,0
447,147,0,55,0,0,0,0,1485,0
478,147,0,55,0,0,0,0,1485,0
480,147,0,55,0,0,0,0,1485,0
531,147,0,55,0,0,0,0,1485,0
544,147,0,55,0,0,0,0,1485,0
547,147,0,55,0,0,0,0,1485,0
557,147,0,55,0,0,0,0,1485,0
589,147,0,55,0,0,0,0,1485,0
624,147,0,55,0,0,0,0,1485,0
677,147,0,55,0,0,0,0,1485,0
741,147,0,55,0,0,0,0,1485,0
763,147,0,55,0,0,0,0,1485,0
797,147,0,55,0,0,0,0,1485,0
840,147,0,55,0,0,0,0,1485,0
852,147,0,55,0,0,0,0,1485,0
897,147,0,55,0,0,0,0,1485,0
907,147,0,55,0,0,0,0,1485,0
910,147,0,55,0,0,0,0,1485,0
918,147,0,55,0,0,0,0,1485,0
978,147,0,55,0,0,0,0,1485,0
981,147,0,55,0,0,0,0,1485,0
992,147,0,55,0,0,0,0,1485,0
999,147,0,55,0,0,0,0,1485,0
1007,147,0,55,0,0,0,0,1485,0
1022,147,0,55,0,0,0,0,1485,0
1031,147,0,55,0,0,0,0,1485,0
1049,147,0,55,0,0,0,0,1485,0
1058,147,0,55,0,0,0,0,1485,0
1097,147,0,55,0,0,0,0,1485,0
1109,147,0,55,0,0,0,0,1485,0
1153,147,0,55,0,0,0,0,1485,0
1169,147,0,55,0,0,0,0,1485,0
135,147,0,55,0,0,0,0,1485,0
117,147,0,55,0,0,0,0,1485,0
101,147,0,55,0,0,0,0,1485,0
42,147,0,55,0,0,0,0,1485,0
40,147,0,55,0,0,0,0,1485,0
34,147,0,55,0,0,0,0,1485,0
433,819,0,51,0,0,0,0,757,518
465,819,2,41,0,1,0,0,610,210
85,819,1,43,0,0,0,1,651,251
241,819,0,44,0,0,0,1,687,258
464,819,0,43,0,0,0,1,681,221
253,819,1,41,0,0,0,1,640,179
1131,819,0,42,0,0,0,0,676,185
1172,819,1,40,0,0,0,0,636,144
585,819,0,42,0,0,0,1,676,184
90,819,0,42,0,0,0,2,676,183
966,819,1,39,0,0,0,0,633,108
179,819,0,41,0,0,0,1,672,147
252,98,1,39,0,0,0,1,433,307
579,819,0,40,0,0,0,0,669,111
494,819,0,40,0,0,0,0,669,111
355,844,0,40,0,0,0,1,444,335
106,819,0,40,0,0,0,0,669,111
731,819,0,39,0,0,0,1,667,73
609,819,1,37,0,0,0,1,630,35
152,819,1,37,0,0,0,0,630,36
513,98,1,37,0,0,0,1,414,251
8,819,0,39,0,0,0,0,667,74
1013,819,0,38,0,0,0,0,666,37
717,819,0,38,0,0,0,0,666,37
604,819,1,36,0,0,0,0,630,0
551,819,0,38,0,0,0,0,666,37
526,819,0,38,0,0,0,0,666,37
332,819,0,38,0,0,0,0,666,37
261,819,0,38,0,0,0,1,666,36
184,819,1,36,0,0,0,0,630,0
862,819,0,37,0,0,0,0,666,0
900,819,0,37,0,0,0,0,666,0
540,819,0,37,0,0,0,0,666,0
533,819,0,37,0,0,0,0,666,0
525,819,0,37,0,0,0,0,666,0
493,819,0,37,0,0,0,0,666,0
245,819,0,37,0,0,0,0,666,0
219,819,0,37,0,0,0,0,666,0
142,819,0,37,0,0,0,0,666,0
93,819,0,37,0,0,0,0,666,0
25,638,7,22,2,19,0,2,174,55
341,638,6,22,1,14,0,1,191,39
122,1275,0,34,0,0,0,0,297,264
1040,98,0,34,0,0,0,0,416,145
1171,98,0,34,0,0,0,0,416,145
983,844,0,33,0,0,0,0,388,140
1171,844,0,33,0,0,0,1,388,139
664,844,1,31,0,0,0,5,357,103
337,567,0,33,0,0,0,0,388,140
302,844,0,33,0,0,0,2,388,138
241,638,0,33,0,0,0,0,346,182
204,567,0,33,0,0,0,2,388,138
204,844,0,33,0,0,0,1,388,139
179,98,0,33,0,0,0,1,412,115
276,98,0,33,0,0,0,0,412,116
324,98,0,33,0,0,0,3,412,113
810,98,0,33,0,0,0,0,412,116
937,98,1,31,0,0,0,0,381,84
13,98,0,33,0,0,0,0,412,116
966,844,1,30,0,0,0,0,354,81
1115,844,0,32,0,0,0,0,384,112
1029,638,4,24,2,4,0,1,232,43
1002,567,0,32,0,0,0,0,384,112
1110,567,0,32,0,0,0,2,384,110
251,98,0,32,0,0,0,0,409,87
681,98,1,30,0,0,0,0,379,56
1021,98,0,32,0,0,0,0,409,87
17,567,0,32,0,0,0,2,384,110
17,844,0,32,0,0,0,1,384,111
13,567,0,32,0,0,0,1,384,111
1035,844,0,31,0,0,0,3,381,81
1132,844,0,31,0,0,0,0,381,84
784,638,3,25,2,1,0,0,254,46
998,638,0,31,0,0,0,0,335,130
1092,638,1,29,0,0,0,0,306,100
302,638,1,29,0,0,0,2,306,98
267,1240,0,31,0,0,0,3,245,217
222,844,0,31,0,0,0,0,381,84
180,844,1,29,0,0,0,2,352,52
134,136,2,27,1,0,0,0,175,176
130,567,0,31,0,0,0,0,381,84
121,98,0,31,0,0,0,0,407,58
186,98,0,31,0,0,0,0,407,58
266,98,0,31,0,0,0,0,407,58
658,98,0,31,0,0,0,0,407,58
731,98,0,31,0,0,0,1,407,57
1077,844,0,30,0,0,0,5,379,51
1266,844,0,30,0,0,0,2,379,54
662,844,0,30,0,0,0,2,379,54
609,844,1,28,0,0,0,2,351,25
516,567,0,30,0,0,0,0,379,56
360,567,0,30,0,0,0,0,379,56
633,136,2,26,1,0,0,0,165,160
112,98,0,30,0,0,0,0,406,29
775,98,0,30,0,0,0,0,406,29
913,98,0,30,0,0,0,0,406,29
1179,98,0,30,0,0,0,0,406,29
1241,98,0,30,0,0,0,1,406,28
1379,98,0,30,0,0,0,0,406,29
898,27,0,30,0,0,0,0,291,144
1363,844,0,29,0,0,0,0,378,28
790,844,0,29,0,0,0,0,378,28
955,638,3,23,1,2,0,0,253,0
835,567,0,29,0,0,0,1,378,27
962,567,0,29,0,0,0,0,378,28
987,567,0,29,0,0,0,0,378,28
1137,567,0,29,0,0,0,0,378,28
504,567,0,29,0,0,0,0,378,28
472,638,1,27,0,0,0,0,301,50
435,844,0,29,0,0,0,1,378,27
353,567,0,29,0,0,0,2,378,26
267,367,2,25,0,1,0,0,156,144
252,1130,3,23,2,1,0,3,127,123
123,844,0,29,0,0,0,1,378,27
1373,98,0,29,0,0,0,0,406,0
1374,98,0,29,0,0,0,0,406,0
1375,98,0,29,0,0,0,0,406,0
1376,98,0,29,0,0,0,0,406,0
1377,98,0,29,0,0,0,0,406,0
1378,98,0,29,0,0,0,0,406,0
81,367,2,25,0,1,0,0,156,144
74,844,0,29,0,0,0,0,378,28
59,567,0,29,0,0,0,2,378,26
1382,844,0,28,0,0,0,0,378,0
1446,844,0,28,0,0,0,0,378,0
668,844,0,28,0,0,0,0,378,0
645,844,0,28,0,0,0,0,378,0
948,638,2,24,0,1,0,0,276,0
1063,638,2,24,0,1,0,0,276,0
735,567,0,28,0,0,0,0,378,0
762,567,0,28,0,0,0,0,378,0
771,567,0,28,0,0,0,0,378,0
825,567,0,28,0,0,0,0,378,0
860,567,0,28,0,0,0,0,378,0
863,567,0,28,0,0,0,0,378,0
1085,567,0,28,0,0,0,0,378,0
1098,567,0,28,0,0,0,0,378,0
552,844,0,28,0,0,0,0,378,0
509,844,0,28,0,0,0,0,378,0
481,567,0,28,0,0,0,0,378,0
382,567,0,28,0,0,0,0,378,0
347,638,2,24,1,0,0,0,276,0
